equipo,ciudad,estadio
Olimpo,Bahía Blanca,Roberto Carminatti
Villa Mitre,Bahía Blanca,El Fortín
Sansinena,General Cerri,Luis Molina
Sol de Mayo,Viedma,Albiceleste
Cipolletti,Cipolletti,La Visera de Cemento
Ferro de General Pico,General Pico,Coloso de Barrio Talleres
Independiente de Chivilcoy,Chivilcoy,Raúl Lungarzo
Douglas Haig,Pergamino,Miguel Morales
Defensores de Belgrano de Villa Ramallo,Villa Ramallo,Salomón Boeseldín
Unión de Sunchales,Sunchales,Plácido Tita
Sarmiento de Resistencia,Resistencia,Centenario
For Ever,Resistencia,Juan Alberto García
Central Norte,Salta,Padre Ernesto Martearena
Gimnasia y Tiro,Salta,El Gigante del Norte
Juventud Antoniana,Salta,Fray Honorato Pistoia
Crucero del Norte,Garupá,Andrés Guacurarí
San Martín de Formosa,Formosa,17 de Octubre
Sportivo Las Parejas,Las Parejas,4 de Septiembre
Atlético Paraná,Paraná,Pedro Mutio
Sportivo Belgrano,San Francisco,Oscar C. Boero
Estudiantes de San Luis,San Luis,Héctor Odicino - Pedro Benoza
Huracán Las Heras,Las Heras,General San Martín
Peñarol de San Juan,Chimbas,Ramón Pablo Rojas
Desamparados,San Juan,José Eduardo Nehin
Argentino de Monte Maíz,Monte Maíz,Modesto Marrone
Sportivo Atenas,Río Cuarto,9 de Julio
Sportivo Estudiantes,San Luis,Héctor Odicino - Pedro Benoza